,sentence,id,article_id,valence,arousal,is_annotated,is_miscellaneous,rank_value
80,"Schoch said the company took such actions in the first quarter, but noted that they were immaterial and declined to give details.",41491,9197,0.4,0.26,True,False,0.03
81,"Goldman was ranked as the top underwriter for technology public offerings last year, according to Thomson Reuters data, capturing 18.4 percent of market share.",41611,9228,0.63,0.55,True,False,0.65
82,"But they may also make companies change the packaging of the product, a potentially costly move.",41692,9229,0.26,0.55,True,False,0.02
83," Honda Motor Co could see an impact on sales in Japan from its plans to recall some 5 million cars to replace potentially fatal air bags made by Japan's Takata Corp, a top executive said on Friday.",42857,9444,0.31,0.61,True,False,0.2
84,"As a group, their capex plans are down by $21.4 billion, or 14.1 percent from a year ago, according to the Thomson Reuters analysis.",43041,9479,0.32,0.44,True,False,1.0
85,"  Wells Fargo  & Co (N:WFC), the largest U.S. mortgage lender, has undertaken a study to streamline five of its key departments, a move that could lead to job losses, the Charlotte Observer reported on Wednesday.",43140,9496,0.32,0.65,True,False,0.38
86,"""In particular, investors are waiting for inflation numbers and the next jobs report in coming weeks, said Michael Matousek, head trader at U.S. Global Investors Inc in San Antonio.",43223,9510,0.49,0.59,True,False,0.07
87,"The Dow Jones U.S. Hotels Index (DJUSLG) has risen 5.5 percent so far this year, outperforming the S&P 500 index, which has risen 2.7 percent (SPX).",44669,9815,0.75,0.56,True,False,0.5
88,"About 213,000 jobs are seen having been added in April, after an add of 126,000 in March.",45415,9927,0.71,0.52,True,False,0.93
89," U.S. stocks, led by the Nasdaq, sold off on Thursday as Apple shares declined, and tech and biotech quarterly results disappointed.",45611,9946,0.21,0.49,True,False,0.77
90,China stocks slipped after the country's securities regulator said it would accelerate approval of initial public offerings in an apparent effort to cool the red hot market.,46781,10179,0.37,0.52,True,False,0.76
91,"LMC forecasts Colorado sales to hit just over 74,000 this year but to fall by 8.4 percent over the next five years, and Canyon sales to hit almost 29,500 this year but slide almost 21 percent in the subsequent five years.",47261,10251,0.32,0.58,True,False,0.09
92,Citigroup declined to comment.,47409,10274,0.44,0.49,True,False,0.3
93,"The activist investor wants DuPont to separate its materials businesses from its nutrition and health, agriculture, and industrial biosciences divisions.",47797,10334,0.51,0.56,True,False,0.65
94,It has damaged her reputation as a manager because she was chairwoman of the Petrobras board when much of the graft took place.,47955,10375,0.3,0.61,True,False,0.61
95,"They are trying to improve profitability, cut costs, sell businesses, deal with old misconduct issues and simplify.",48138,10402,0.56,0.62,True,False,0.48
96,"U.S. crude inventories rose only 1.3 million barrels to 483.69 million, the smallest build since the week ending Jan. 2, according to the Energy Information Administration.",48905,10509,0.3,0.42,True,False,0.46
97,Both lenders have hired investment banks to advise them on strategic options.,49609,10642,0.58,0.48,True,False,0.79
98,"""We could see other takeovers in the industry in the coming weeks and months.""",50149,10741,0.49,0.61,True,False,0.53
99,"  Ford Motor Co 's (N:F) joint venture with Chongqing Changan Automobile Co Ltd (SZ:000625) will takeover and upgrade a factory in northeast China in a 6.6 billion yuan ($1.1 billion) deal, a company spokeswoman said.",50763,10854,0.72,0.56,True,True,0.56
100,Wall Street's key indices were ahead after the U.S. Commerce Department reported U.S. gross domestic product expanded at a 2.2 percent annual rate in the fourth quarter and aftertax corporate profits had their biggest drop since early 2011.,51741,11033,0.62,0.57,True,False,0.38
101,Some of the names attracting short bets are recent entrants to the stock market.,51821,11048,0.29,0.54,True,False,0.91
102," ""This impact of the dollar on U.S. earnings could last for three to seven years.",52765,11200,0.5,0.63,True,False,0.81
103,"Lately, he has been adding to positions in companies such as German materials company ThyssenKrupp AG, best known for making elevators.",52873,11205,0.56,0.54,True,False,0.32
104,Cereals accounted for roughly $2.9 billion of the company's $17.9 billion in annual sales in fiscal 2014.,53500,11272,0.5,0.5,True,False,0.62
105,"""The government is keeping a close watch on this matter and making sure that the deal maintains a solid base and decisionmaking centres in France,"" the source told Reuters.",54190,11357,0.53,0.54,True,False,0.33
106,"Tyson and Keystone Foods, part of Brazilbased Marfrig Global Foods SA, both told Reuters they have significantly reduced medicallyimportant antibiotic use in their flocks and are positioned to meet McDonald's and other customers' needs.",55370,11517,0.71,0.56,True,False,0.6
107,"""This plant is key to our future growth in the very dynamic North American van market,"" Volker Mornhinweg, head of MercedesBenz Vans, said in a statement.",55498,11538,0.69,0.73,True,False,0.21
108,"Investors remained cautious ahead of U.S. nonfarm payrolls report for February, which could provide clues about the timing of the U.S. Federal Reserve's interest rate hike.",55867,11592,0.33,0.32,True,False,0.16
109,"About 6.3 billion shares changed hands on U.S. exchanges, below the 6.5 billion average for the last five sessions, according to BATS Global Markets.",55950,11600,0.44,0.43,True,False,0.01
110,[MET/L],56261,11650,0.5,0.5,True,True,0.29
111,"At the hearing's conclusion, Diogo called Volkswagen's testimony ""absolutely unsatisfactory.",56390,11661,0.08,0.65,True,False,0.6
112,"Nancy Orlando, a bank spokeswoman, said the changes would be implemented at the bank's U.S. branches, located in the Northeast, by Sept. 30th.",57691,11828,0.51,0.54,True,False,0.34
113," The death of Italian billionaire Michele Ferrero could ultimately herald a deal involving the chocolate empire bearing his name, with the family's third generation leading it into a future of increasingly hungry multinationals.",58519,11920,0.51,0.66,True,False,0.5
114,"Still, Asheesh Saastry at Boston Consulting Group reckons price liberalization will spark action.",58669,11936,0.62,0.77,True,False,0.12
115,"The research lab was set up late last year, soon after Apple revealed its forthcoming smart watch and latest iPhones, the daily said.",58964,11959,0.57,0.56,True,False,0.27
116,Maintaining its spot at the top of the global technology market and growing its nowrecord market value hinges in part on Chief Executive Tim Cook's ability to keep up the stream of gamechanging consumer products launched by cofounder Steve Jobs.,59096,11978,0.55,0.66,True,False,0.05
117,"The hybrid format is preferred by many activists, large pension funds and asset managers, because they feature CEOs facing shareholders in person, while also expanding to the virtual audience.",59166,11989,0.56,0.5,True,False,0.41
118,"""Competitors could take advantage of those and play the price game and hence, gain market share,"" said Jack Russo, an analyst at Edward Jones, in an email.",59827,12052,0.64,0.57,True,False,0.74
119,Birnbaum said SodaStream was seeking to obtain more permits for Palestinian workers as is needed.,60234,12095,0.55,0.51,True,False,0.41
120,"Consumer spending, which accounts for more than twothirds of U.S. economic activity, rose at a 4.3 percent pace in the fourth quarter, the fastest since the first quarter of 2006 and an acceleration from the third quarter's 3.2 percent pace.",60983,12163,0.66,0.56,True,False,0.05
121,At least three potential candidates in a narrow field have turned their back on the job heading France's largest company.,62600,12317,0.34,0.62,True,False,0.33
122,  The financial services affiliate of Alibaba (N:BABA) launched on Wednesday a system that will use the ecommerce giant's data trove to assess the creditworthiness of Chinese consumers and businesses with little or no history at traditional lenders.,63240,12390,0.54,0.54,True,False,0.3
123,"""Verizon is the best house in a bad neighborhood,"" said Craig Moffett, an analyst at MoffettNathanson.",64354,12490,0.64,0.61,True,False,0.92
124,The S&P 500 posted 37 new 52week highs and 9 new lows; the Nasdaq Composite posted 41 new highs and 95 new lows.,64592,12515,0.54,0.46,True,False,0.32
125,"South Korean stocks tend to trade at a discount to those elsewhere due to weaker corporate governance, complicated crossshare holdings and low dividends.",64886,12559,0.34,0.57,True,False,0.88
126,"But the clean energy source contributes less than 1 percent to India's energy mix, while its dependence on erratic coal supplies causes chronic power cuts.",66441,12711,0.35,0.7,True,False,0.79
127,"""The better burger space has been a pretty disruptive force for McDonald's and other players,"" said Darren Tristano, executive vice president at Technomic.",67493,12836,0.55,0.66,True,False,0.07
128,"""Asked to comment on the FT report, BP issued an emailed statement that said: ""Following regulatory market (not into BP) investigations regarding the FX markets, we conducted a review into our activities in this area.",67686,12857,0.43,0.39,True,False,0.39
129,"In currencies, the dollar eased on the safe haven yen to stand at 119.42 <USD/JPY> from Tuesday's peak of 120.69.",67722,12859,0.73,0.29,True,False,0.62
130,"""That translates to more disposable income, which could mean stronger retail sales.""",68016,12898,0.62,0.54,True,False,0.68
131,"The data highlighted a continuing trend of ""the consumer wanting experience"" over goods.",68035,12900,0.56,0.51,True,False,0.48
132," (Reporting by Sruthi Ramakrishnan in Bengaluru, Editing by Siddharth Cavale and Don Sebastian)",68992,12998,0.5,0.5,True,True,0.77
133,"""Takata has become extremely strict when it comes to quality control now,"" said one of the people who was present at the meeting.",70060,13106,0.61,0.51,True,False,0.77
134, Fiat Chrysler Automobiles NV (MI:FCHA) (N:FCAU) said it had priced an offering of 87 million common shares at $11.00 each as the carmaker seeks funds to cut debt and pay for an ambitious investment plan.,70575,13143,0.57,0.66,True,False,0.13
135,"Going forward, we do not expect our tax rate to change materially.""",70590,13144,0.61,0.34,True,False,0.65
136,We're focused on Shire as an independent company.,70665,13150,0.55,0.55,True,False,0.82
137,"Standard Chartered's shares were down 1 percent at 935 pence by 0500 ET, underperforming a flat European bank index.",70992,13165,0.23,0.44,True,False,0.42
138,"You decide whether or not our food is safe!""",71000,13166,0.46,0.63,True,False,0.78
139,"Late Friday, Merck said it planned to buy Cubist, whose flagship product is the widely used antibiotic Cubicin for skin infections.",71021,13169,0.52,0.55,True,False,0.28
140, (Editing by David Holmes),71174,13180,0.5,0.5,True,True,0.91
141,"Details of the second attempt, which took place a few days ago, were not immediately available, the sources added.",72313,13275,0.45,0.39,True,False,0.49
142," Deutsche Bank (DE:DBKGn) is negotiating the sale of its stake in London hedge fund Arrowgrass Capital Partners to private equity firm Foundation Capital Partners, the Wall Street Journal reported on Tuesday.",72625,13300,0.51,0.62,True,False,0.81
143,Thirdquarter gross domestic product came in much stronger than expected but separate data showing consumer confidence sliding to a fivemonth low and a further moderation in house price gains put a lid on the market's advance.,73668,13379,0.49,0.7,True,False,0.38
144,"""There is a whole new category for compact premium sedans.""",74835,13470,0.62,0.6,True,False,0.86
145,"While Watt's predecessor at the FHFA opposed principal reductions, putting him at odds with the White House and many Democrats, Watt declined to stake out a clear position and said the agency was still studying the matter.",74863,13474,0.56,0.63,True,False,0.32
146,"In a 2013 alert to the public, the SEC said investors needed to keep in mind that oil and gas private placements were especially risky, that they often carried hidden fees, and that issuers routinely made money even when drilling yielded no oil or gas.",76776,13633,0.37,0.64,True,False,0.29
147,The switch can slip out of position and cut power to air bags and brakes and has prompted the recall of 2.6 million vehicles.,77143,13656,0.32,0.68,True,False,0.85
148,"Prosecutors said in July 2008, Martoma received a tip from a doctor about negative trial results for an Alzheimer's drug being developed by Elan and Wyeth.",78359,13753,0.37,0.55,True,False,0.9
149,"Citigroup's investors, its ability to gain ground on rivals in businesses like credit cards is one of its biggest opportunities to boost its share price valuation, which lags many rivals.",78739,13779,0.66,0.57,True,False,0.85
150,"Nasdaq agreed in May 2013 to pay a $10 million penalty, a record for a stock exchange, to settle U.S. Securities & Exchange Commission charges over its alleged ""poor systems and decisionmaking"" for the IPO.",79505,13817,0.28,0.57,True,False,0.37
151,"Makoto Kitamura, the deputy director general of the Reconstruction Agency, says local government spending of reconstruction money has been accelerating.",79752,13830,0.54,0.65,True,False,0.88
152,"""There's no conflict of interest,"" she said.",80534,13889,0.61,0.37,True,False,0.43
153,The benchmark S&P 500 index posted 24 new 52week highs and 1 new low; the Nasdaq Composite showed 45 new highs and 30 new lows.,82131,14005,0.61,0.5,True,False,0.87
154,But few airlines have translated that optimism into new orders on the scale of IndiGo's since most are losing money.,82608,14053,0.27,0.36,True,False,0.1
155,But other carriers likely will see smaller potential gains.,83450,14109,0.45,0.36,True,False,0.55
156,"Harrison was at CN when it tried to merge with Burlington National, which is now owned by Warren Buffett.",84062,14162,0.52,0.51,True,False,0.76
157,Allergan declined to comment.,84556,14191,0.35,0.43,True,False,0.15
158,"""This investigation was De Gucht's issue.",84934,14212,0.37,0.61,True,False,0.23
159,"Four former senior Tesco executives have told Reuters that during the 20112014 CEO tenure of Phil Clarke, he repeatedly clashed with directors, who found him reluctant to take advice.",86549,14318,0.32,0.68,True,False,0.41
160,"Didier Leroy, the Japanese carmaker's head of European operations, said that while sales of entrylevel cars in Russia were down 2530 percent, hurting many of its competitors, demand for premium vehicles was down a more modest 8 percent.",86627,14321,0.33,0.52,True,False,0.26
161,"It's crucial to have the state as a stable shareholder, whose needs are clear, who will be there in the long term even when times are tough.",87021,14344,0.7,0.39,True,False,0.85
162,"""If Lufthansa doesn't make a move, then further strikes will happen.",87295,14368,0.38,0.69,True,False,0.69
163,NHTSA officials said they do not comment on ongoing investigations.,87961,14428,0.49,0.39,True,False,0.9
164,"Both companies have announced increases in production as a result, and are considering further increases to lift A320 or 737 production to 50 planes a month or beyond.",88347,14457,0.8,0.6,True,False,0.18
165,A Ukrainian default would almost certainly force losses on them.,88735,14481,0.35,0.65,True,False,0.38
166,Government officials say they stand ready to deploy fresh fiscal stimulus to limit the impact of a tax hike.,90178,14581,0.58,0.6,True,False,0.51
167,"not sure why we're even listening to this,"" said Circuit Judge Reena Raggi.",90279,14587,0.33,0.7,True,False,0.45
168,"A Reuters investigation last year found that three quarters of the 50 biggest U.S. technology companies channeled revenues from European sales into low tax jurisdictions such as Ireland and Switzerland, rather than reporting them nationally.",90707,14639,0.38,0.54,True,False,0.12
169,"Italian Alberto Onetti runs a Brusselsbacked effort to help introduce startups to investors, particularly multinationals.",90867,14649,0.65,0.55,True,False,0.16
170,"""It was a 1520 percent cost gap,"" said one of the people involved in the Renault decision.",91233,14671,0.39,0.75,True,False,0.62
171,"And they'll vote 'yes' because lastminute cobbled up promises from the 'no' campaign which unravel at the slightest scrutiny will not fool anyone in this country, and neither will blatant bullying and intimidation of the Westminster government.""",91927,14715,0.2,0.77,True,False,0.78
172,"""We think the 801 multiplier is disingenuous, and if that's wrong, what else is wrong?"" said Bob Fulkerson, executive director of the Progressive Leadership Alliance of Nevada.",92439,14762,0.39,0.62,True,False,0.16
173,"Revel, a $2.4 billion casino, was hailed by New Jersey Governor Chris Christie as a model for reviving the city when it opened in 2012 but filed for bankruptcy twice in two years.",92675,14781,0.26,0.56,True,False,0.77
174,"""BP has claims against us for contribution for their exposure under the Clean Water Act,"" McCollum said at the Barclays CEO energypower conference on Tuesday.",94229,14915,0.28,0.69,True,False,0.1
175," In 2010, former Chinese gymnast Li Ning led a surging $4 billion sportswear business, a goldmedal pinnacle echoing his victories at the 1984 Olympic Games.",94464,14931,0.8,0.73,True,False,0.8
176,The Bolivianborn entrepreneur made his fortune through a cellular phone wholesale business called Brightstar which has close ties with handset makers and may provide better access to the latest smartphones at decent prices both for Sprint and its partners.(Editing by Grant McCool),94798,14954,0.64,0.53,True,False,0.25
177,"Frontrunning the euro inflation figures, French data showed producer prices fell 0.3 percent monthonmonth in July and 0.6 percent yearonyear.",94869,14961,0.32,0.35,True,False,0.34
178,"Tim Hortons and Burger King said they do not plan to comment on this potential deal further unless and until a transaction is agreed, or discussions are discontinued.",95674,15039,0.41,0.55,True,False,0.2
179,Goldman Sachs declined to comment.,97095,15160,0.42,0.54,True,False,0.03
180,"For instance, the White House may announce tighter restrictions on federal government contracting with inverted companies, said Chris Krueger, an analyst at Guggenheim Securities in Washington in a research note last week.",97226,15166,0.5,0.5,True,False,0.26
181,"""When we have tried to forge compromises with the chairman, he has insisted on undermining financial stability and consumer protection by providing carveouts for large banks,"" Maxine Waters, the top Democrat on the committee, said in a statement to Reuters.",97791,15197,0.28,0.71,True,False,0.42
182,"Daniel Kerner, director of Latin America and Eurasia Group, said the acceleration scenario was ""looking increasingly likely"".",97862,15205,0.64,0.56,True,False,0.2
183,Merrill changed its policies to let retiring brokers stay on as senior consultants for a period of time they determine.,98400,15244,0.55,0.53,True,False,0.42
184,"Until these geopolitical tensions start easing, investors will continue to look for the safety of toprated assets,"" RIA Capital Markets bond strategist Nick Stamenkovic said.",98488,15249,0.45,0.65,True,False,0.12
185, German carmaker Volkswagen (DE:VOWG_p) increased sales at its core passengercar brand by 4 percent in July as higher deliveries in Europe and China offset declines in the Americas.,98639,15265,0.59,0.51,True,False,0.08
