sentence,id,article_id,valence,arousal,is_annotated,is_miscellaneous,is_drafted,rank_idx,draft_time
"Chung told the gathering that the company must build on the launch of new ecofriendly vehicles and the rollout of its highend Genesis brand, Yonhap said.",4063,948,0.50,0.53,True,False,True,465,2022-08-05T13:31:05.3891890
"Carlyle and Hellman & Friedman declined to comment, while PPD did not respond immediately to a request for comment.",4476,1033,0.04,0.73,True,False,True,11,2022-06-03T14:26:21.1654040
WalMart's shares closed up about 1 percent at $59.56 on Thursday.,4746,1072,0.54,0.53,True,False,True,761,2022-08-24T14:23:35.1374520
"Even after the holding is pared back to 15 percent, France will command 28 percent of votes when the Florange law takes effect at the end of March, enough to veto strategic decisions.",4821,1085,0.45,0.54,True,False,True,769,2022-08-24T14:26:37.5343780
"AMS has nothing to add to its stated guidance expectations or the stated expectation of continued growth for AMS in the future,"" it said.",4859,1100,0.66,0.29,True,False,True,67,2022-06-07T14:33:09.7697710
"""I think the market is starting to be a little bit more concerned about global economic weakness,"" said Paul Nolte, senior vice president and portfolio manager at Kingsview Asset Management in Chicago.",5156,1142,0.32,0.44,True,False,True,308,2022-06-24T13:22:38.8222120
The tests are only to set crash ratings that are included on new car window stickers  not for crash tests needed in order for vehicles to be legally sold in the United States.,5384,1198,0.48,0.52,True,False,True,221,2022-07-01T07:44:21.1415810
"Nasdaq said Dan Kessous, ChiX Canada CEO, would continue to lead the Canadian equities trading business and the ChiX Canada team would join Nasdaq.",5433,1215,0.56,0.52,True,False,True,513,2022-08-18T14:16:39.8325380
"""We expect board members to lead by example,"" she said in astatement to Reuters.",5606,1248,0.46,0.66,True,False,True,51,2022-06-07T14:23:08.9490540
Bumper harvests in the past decade have also reduced the urgency for new technologies.,5779,1296,0.52,0.35,True,False,True,580,2022-08-23T08:42:53.9420550
"Casteel said the UAW maintains a narrow majority of support among VW Chattanooga hourly workers, but it is not pursuing a vote by all hourly workers because of concern of ""facing the same outside pressure that we faced last time.",5878,1303,0.39,0.58,True,False,True,401,2022-07-19T16:11:33.1416050
"Draghi on Friday said the ECB could deploy more stimulus if needed, leading traders to reestablish short positions in the bloc's single currency.",5898,1304,0.44,0.58,True,False,True,236,2022-06-21T13:30:21.9049790
" Volkswagen (DE:VOWG_p) has split a 20 billion euro ($21.1 billion) bridge loan between 13 banks to help shoulder the costs of its emissions scandal, two people familiar with the matter said.",6342,1404,0.40,0.55,True,False,True,341,2022-07-01T07:53:14.8082780
"  Lockheed Martin  Corp (N:LMT) has been awarded a contract worth $914 million to upgrade Singapore's F16 aircraft, the Pentagon said on Tuesday.",6762,1483,0.63,0.52,True,False,True,348,2022-07-01T07:56:25.0164030
Shares of Anthem (N:ANTM) were up 4.2 percent at $135.82.Strong U.S. auto sales in November kept the industry on pace for a record year in 2015.,6769,1484,0.61,0.54,True,False,True,727,2022-08-24T10:03:22.1904470
"This will allow the foreign companies to offer more attractive options while keeping vehicle prices competitive with the unionized Detroit Three automakers, or charge less for their vehicles.",7034,1551,0.57,0.61,True,False,True,471,2022-08-16T13:51:35.9791780
"Minivans, or multipurpose vehicles (MPVs), were front and center at the Guangzhou auto show, where Volkswagen (DE:VOWG_p) AG presented a supersized version of its Touran and Guangzhou Automobile Group subsidiary GAC Motor showcased a prototype minivan.",7139,1589,0.63,0.49,True,False,True,118,2022-06-22T10:40:06.6564240
"Sanofi could also pursue an outright sale of its European generics business, worth up to 3 billion euros.",7229,1605,0.24,0.62,True,False,True,21,2022-06-03T14:27:47.1152580
"Sonnenbatterie this week announced a 3,599 euro small battery  a discounted price available if the buyer joins the company's SonnenCommunity scheme.",7329,1610,0.60,0.52,True,False,True,619,2022-08-23T08:57:56.2116990
That fueled talk that the central bank is preparing aggressive measures to lift inflation and economic growth in the 19member euro zone.,7445,1653,0.53,0.66,True,False,True,626,2022-08-23T11:36:41.9538270
"Against the yen, the euro fell 0.2 percent to 130.12 yen, a day after hitting a sevenmonth low of 129.77 (EURJPY=R).Market activity was thin due to the U.S. holiday, with the greenback trading in a tight range.",7447,1653,0.36,0.53,True,False,True,450,2022-08-05T13:28:06.5211080
"The Oklahoma fund's lawsuit accused Herbalife of ""grossly"" understating the percentage of sales going to retail customers.",7711,1726,0.40,0.58,True,False,True,603,2022-08-23T08:51:31.2410560
"The U.S. economy grew at a 2.1 percent pace in the thirdquarter, compared with an earlier estimate of 1.5 percent, data showed, but consumer sentiment in November was the weakest since September 2014 ahead of the crucial holiday shopping season.",7893,1752,0.43,0.45,True,False,True,720,2022-08-24T09:59:06.7722180
"The ""radical action"" would give the Cincinnatibased company a chance to contend with more ""agile competitors,"" according to Barron's report this weekend.",8232,1855,0.54,0.73,True,False,True,708,2022-08-24T09:52:21.7468250
"Work said he only sounded out Sajjan when the two met in Halifax, Nova Scotia, adding: ""I wasn't here to put any pressure on.",8273,1861,0.59,0.38,True,False,True,487,2022-08-16T13:59:41.1190330
"Funding for the deal with Mobile Leasing Solutions (MLS), the company formed by SoftBank and other investors, would come from several lenders including international banks and leasing companies.",8535,1894,0.57,0.51,True,False,True,562,2022-08-22T08:48:17.7228980
"Sarepta Therapeutics Inc, which is developing a rival treatment, jumped 28 percent to $33.37.The FDA staff reviewers said the drug, drisapersen, did not improve the production of a protein called dystrophin, the lack of which causes Duchenne's muscular dystrophy.",8596,1902,0.61,0.52,True,False,True,64,2022-06-07T14:31:30.2093230
"The company hired top designers from brands such as Ralph Lauren (N:RL) and Tommy Hilfiger, to help breathe new life into its mainstay Abercrombie brand.",8618,1905,0.58,0.52,True,False,True,767,2022-08-24T14:25:17.1400040
Gabelli said he dropped his subscription for satellite TV provider DirecTV as well.,8777,1922,0.42,0.45,True,False,True,485,2022-08-16T13:57:41.0576470
"Square sold 25.7 million class A common shares in the offering, led by Goldman Sachs (N:GS),  Morgan Stanley  (N:MS) and JP Morgan.",8827,1924,0.57,0.53,True,False,True,639,2022-08-23T11:41:41.8745360
"Ronald S. Lauder, chairman of Estee Lauder's Clinique Laboratories, has pledged 10 million shares of company stock worth about $830 million to secure loans and his obligations under a prepaid variable forward sales contract.",9486,2072,0.14,0.50,True,False,True,193,2022-06-24T18:54:05.1856100
"""Valeant is also facing investigations by prosecutors in New York and Massachusetts over its drug pricing and programs that provide financial assistance to help patients cover outofpocket expenses for their medications.",9560,2093,0.26,0.59,True,False,True,775,2022-08-24T14:28:35.7228830
"The announcement came amid mounting pressure on Taco Bell to remove artificial ingredients, to source products from more humanely raised animals and to match ChickfilA, McDonald's Corp (N:MCD), Subway and other rivals' commitments to sourcing meat raised with fewer antibiotics.",9562,2094,0.34,0.70,True,False,True,72,2022-06-07T14:35:54.9164230
United Auto Workers President Dennis Williams has faced criticism from union members that he has acquiesced to jobs going south.,9656,2106,0.36,0.54,True,False,True,293,2022-08-23T08:41:05.1304530
Suppliers say the machines reduce the need for human labor substantially.,9852,2140,0.71,0.58,True,False,True,1,2022-06-03T11:06:28.0766360
"""While we regret the investors' losses, no audit of a Madoffadvised fund could have detected this Ponzi scheme,"" she said.",9967,2155,0.30,0.56,True,False,True,209,2022-06-17T14:05:33.7263640
"At the time, Treasury and the Internal Revenue Service said they were weighing further actions.",10005,2157,0.50,0.57,True,False,True,148,2022-06-16T13:47:06.2990730
"Fresh legislation from Congress on inversions, despite occasional rhetoric to the contrary from lawmakers on Capitol Hill, is regarded as unlikely before the 2016 elections.",10013,2157,0.50,0.36,True,False,True,547,2022-08-22T08:39:41.5304870
"one can tell that today,"" Osterloh said in a joint interview with VW brand chief executive Herbert Diess, adding there were structures within the company that are ""problematic"".""But",10114,2176,0.50,0.50,True,True,True,665,2022-08-23T11:52:45.3812290
"A quarter of new managing directors are women, the highest percentage ever for the bank, Goldman Sachs said in a statement.",10334,2221,0.64,0.53,True,False,True,63,2022-06-07T14:31:10.3611840
"Brigette Perez, who makes $11 an hour working at a Del Taco restaurant in the Los Angeles suburb of Glendale, said she struggles to support her four children on the paycheck she receives.",10702,2326,0.40,0.58,True,False,True,624,2022-08-23T08:59:13.5302770
Boeing and  Lockheed Martin  Corp (N:LMT) on Friday filed a formal protest against the decision.,11064,2410,0.30,0.60,True,False,True,439,2022-08-05T13:24:44.5318820
"  Boeing Co  (N:BA) said on Monday it will enter a joint venture partnership with India's Tata Advanced Systems (TASL) to build fuselages for the AH64 Apache (N:APA) attack helicopter in India.",11120,2443,0.58,0.57,True,False,True,158,2022-06-17T09:34:20.8263530
"the last 12 months, we have doubled our sourcing from India and are committed to continue that journey,"" said Pratyush Kumar, President of Boeing India.",11122,2443,0.59,0.53,True,False,True,783,2022-08-25T09:16:21.3535130
I have said 'one day' and this 'one day' is perhaps after the launch of the socalled A380neo.,11171,2456,0.60,0.56,True,False,True,740,2022-08-24T14:14:51.5809530
"Verizon is still considering how some of these asset sales could best be structured and no deal is imminent, the people added.",11338,2477,0.32,0.37,True,False,True,35,2022-06-03T14:29:47.0705060
It did not name a successor.,11359,2478,0.51,0.38,True,False,True,405,2022-07-19T16:13:36.0322870
" Walt Disney Co reported a rise in quarterly profit that beat Wall Street forecasts as cable networks including ESPN brought in higher advertising revenue and collected more fees from pay TV distributors.",11592,2524,0.68,0.55,True,False,True,200,2022-06-17T14:02:47.6194770
It rose as high as $1.0834 per euro on Thursday before steadying.,11786,2572,0.60,0.53,True,False,True,715,2022-08-24T09:56:51.3770080
"Target stores nationwide have some 8 to 9 billion items on store floors, in transit or in warehouses at any given time, he said.",12085,2624,0.57,0.50,True,False,True,214,2022-06-17T14:06:30.4412320
Health officials have urged anyone who ate at Chipotle as early as Oct. 1 and suffered vomiting and bloody diarrhea to see their healthcare provider.,12211,2643,0.35,0.62,True,False,True,743,2022-08-24T14:17:00.5128200
"Both are ""wound way too tight,"" the investor said.",12497,2687,0.35,0.57,True,False,True,390,2022-08-25T09:28:32.8539800
Europe's FTSEurofirst (FTEU3) dipped 0.1 percent though MSCI's 45country All World index  remained just about in positive territory after 1 percent gains in Asia and the Nasdaq (NDX) had notched its eyecatching milestone.,12573,2695,0.58,0.65,True,False,True,205,2022-06-17T14:04:58.4969530
"Within Asia, Jakarta (JKSE) and Hong Kong (HSI) led the region higher.",12585,2695,0.59,0.53,True,False,True,302,2022-06-24T13:18:22.7100350
"Volkswagen in a response Monday took issue with the EPA's findings, saying that ""no software has been installed"" in its 3.0liter V6 diesel engines ""to alter emissions characteristics in a forbidden manner.""",12667,2716,0.56,0.42,True,False,True,608,2022-08-23T08:53:23.7379740
"Given its existing HAE presence, Ornskov acknowledged the deal would be scrutinized by antitrust authorities and he said Shire was already preparing for this.",12794,2729,0.34,0.59,True,False,True,508,2022-08-18T14:13:53.7748010
"After that, we'll be in position to decide on our next steps,"" he said.",13030,2784,0.53,0.52,True,False,True,333,2022-07-01T07:47:57.6299170
"""Many luxury brands such as jewelers Cartier, part of  Richemont  (VX:CFR), and Bulgari are sold in Iran through multibrand shops.",13067,2791,0.63,0.48,True,False,True,89,2022-06-07T14:47:15.4174810
The company said it was aware of seven injuries related to the problem but no accidents.,13124,2815,0.47,0.54,True,False,True,81,2022-06-07T14:40:23.2399330
U.S. Treasury yields also slipped back from this week's highs.,13147,2816,0.42,0.51,True,False,True,153,2022-06-16T13:50:56.9669460
" An engine on a passenger jet bound for Caracas, Venezuela, burst into flames while taxiing for takeoff at a Florida airport on Thursday, forcing frightened passengers to exit the plane using inflatable emergency slides.",13317,2838,0.17,0.62,True,False,True,732,2022-08-24T14:11:55.1059440
Qantas' commitment to the 787 had been in doubt after it canceled 35 orders for the stretched 7879 model in 2012 amid financial losses.,13418,2852,0.41,0.57,True,False,True,150,2022-06-16T13:48:30.9840460
"""Corporate results also helped push European stocks higher (FTEU3) (EU), with brewing giant  Heineken  (AS:HEIN) topping the FTSEurofirst 300 leaderboard with a near 4 percent rise after reporting strong sales.",13825,2944,0.64,0.53,True,False,True,698,2022-08-24T09:48:53.3000110
Even Ghilarducci thinks positive movement might be coming.,13943,2958,0.60,0.53,True,False,True,540,2022-08-22T08:37:37.3154750
"The $9ashare cash deal, worth $17.2 billion including acquired debt, will increase the footprint of Walgreens, the largest U.S. drugstore chain, by half.",13971,2963,0.57,0.53,True,False,True,323,2022-07-01T07:36:37.5896930
"Major markets like Brazil are in a recession, or face lower growth rates, such as China,"" Chief Executive Kurt Bock said.",14178,3009,0.38,0.54,True,False,True,382,2022-07-01T13:56:39.6198870
"On a visit to Washington, Dobrindt said he had updated his U.S. counterpart, Anthony Foxx, on measures Germany has taken to clear up the scandal and would keep the U.S. government regularly informed on developments.",14199,3019,0.40,0.55,True,False,True,684,2022-08-24T09:42:50.2742340
Germany has ordered comprehensive tests on diesel models.,14200,3019,0.57,0.60,True,False,True,349,2022-08-25T09:25:02.0011330
"Donaldson, whose Evansville, Indiana, firm holds UPS shares, said he was confident the company would do better this year.",14350,3037,0.63,0.52,True,False,True,668,2022-08-25T09:45:58.6140970
"""If a customer of mine had that kind of experience, they'd never order from me again,"" Beets said.",14366,3037,0.40,0.53,True,False,True,582,2022-08-23T08:43:36.8293860
"""We have had a pretty good rally in risk assets since the beginning of October ...",14515,3073,0.60,0.55,True,False,True,786,2022-08-25T09:17:12.7271870
"""We look forward to presenting the details of these gains to local union leaders and the membership.",14549,3086,0.62,0.53,True,False,True,672,2022-08-23T11:54:57.0024070
"Microsoft shares (O:MSFT) rose 10.1 percent to $52.87, their highest in 15 years, after adjusted revenue beat expectations for the ninth quarter in a row.",14674,3101,0.63,0.51,True,False,True,641,2022-08-23T11:42:13.6964750
"Valeant said it had shipped $69 million worth of medications at wholesale prices to R&O, and that the pharmacy ""is currently improperly holding significant amounts it receives"" from insurers.",15111,3197,0.30,0.57,True,False,True,41,2022-06-03T14:30:34.3979940
Valeant spokeswoman Laurie Little was not immediately available for comment.,15229,3228,0.44,0.44,True,False,True,92,2022-06-08T12:34:08.1664280
"On Monday, during a conference call with investors, Valeant defended its pricing and declined to comment on the federal investigations, saying it was cooperating with authorities.",15239,3228,0.34,0.44,True,False,True,466,2022-08-05T13:31:18.5137030
"Biogen, which had about 7,550 employees as of Dec. 31, said it expects to incur charges of $85 million$95 million, primarily in the fourth quarter, relating to the jobs cuts.",15345,3253,0.38,0.57,True,False,True,587,2022-08-23T08:45:35.5371800
"Zurichbased Credit Suisse said net profit for the three months to endSeptember was 779 million Swiss francs ($815.37 million), compared with a predicted 921 million francs in a Reuters poll.",15423,3273,0.40,0.55,True,False,True,681,2022-08-24T09:41:23.8644310
"""We have seen some opportunities to do some longerterm structural cost reduction,"" Hayes said.",15632,3316,0.60,0.50,True,False,True,4,2022-06-03T14:25:19.2685040
"Twitter (N:TWTR) named Jack Dorsey, who also heads Square Inc, as its chief executive earlier this month, ending months of speculation about who would take the top job at the microblogging service.",15910,3389,0.65,0.34,True,False,True,136,2022-06-23T09:51:05.2328850
" Suppliers of everything from groceries to sports equipment are already being squeezed for price cuts and cost sharing by WalMart Stores (N:WMT).",15912,3390,0.39,0.60,True,False,True,201,2022-06-17T14:03:08.3551650
Keeping the prices it pays suppliers as low as it can is essential if it is to start to claw back some of this cost hit to its margins.,15919,3390,0.55,0.48,True,False,True,560,2022-08-22T08:47:09.8303390
"Spokesman Bill Durling said the company, whose merchant teams are separate from those at the Walmart chain, had recently changed its structure so that one account head now manages the relationship across various products, with the ability to see across the work of multiple buyers.",15925,3390,0.50,0.54,True,False,True,381,2022-07-01T13:56:18.1110350
They have dropped nearly 17 percent this year.,16146,3408,0.38,0.48,True,False,True,532,2022-08-22T08:35:40.7688110
"Falling prices for used widebody planes, especially Boeing's older 777200ER, are making new sales more difficult.",16418,3456,0.37,0.54,True,False,True,425,2022-08-05T13:22:06.4386060
"The company said the workforce reductions would include some involuntary layoffs, affecting people at various locations.",16514,3472,0.35,0.43,True,False,True,285,2022-06-24T13:14:42.2609630
"The weaker trading environment is hurting banks, as are the costs of complying with new rules imposed after the financial crisis.",16550,3474,0.32,0.56,True,False,True,260,2022-06-23T09:56:20.8522480
"We must become leaner and take decisions more rapidly,"" Mueller said of his recovery plan.",16610,3477,0.60,0.53,True,False,True,272,2022-06-23T10:15:48.9980120
=KFTC> touched a threemonth peak and Malaysia's ringgit <MYR,16648,3493,0.50,0.50,True,True,True,752,2022-08-24T14:20:29.5973980
"""Tesla, which this month unveiled its Model X SUV, has been the U.S. pioneer in luxury electric cars charged by batteries.",16700,3497,0.69,0.58,True,False,True,518,2022-08-18T14:19:52.3662270
"Shares of data storage company Pure Storage fell in their first day of trading earlier this month, a worrisome sign since the IPO gave the company a $3.1 billion market cap that nearly matched its valuation in the private market.",16739,3508,0.65,0.57,True,False,True,309,2022-06-24T13:23:06.1231350
"That sector will be headed by Kathy Warden, now corporate vice president and president of Information Systems, Northrop said.",16756,3509,0.50,0.50,True,False,True,455,2022-08-05T13:29:09.2421400
" Office supplies retailer  Staples Inc  (O:SPLS) said on Tuesday that it would limit severance benefits payments for senior its executives.",17071,3576,0.41,0.54,True,False,True,754,2022-08-24T14:21:06.8356970
" Britain's third largest bank  Barclays  (L:BARC) PLC is close to naming former JPMorgan Chase (N:JPM) banker Jes Staley as its new chief executive, a person with knowledge of the situation said on Monday.",17282,3636,0.50,0.51,True,False,True,634,2022-08-23T11:39:28.3101950
Conversations with at least four other craft brewers told the same story.,17350,3640,0.54,0.46,True,False,True,545,2022-08-22T08:39:10.5467560
"While the Justice Department does not have a seat at the table, it has volunteered analysis and answered questions from the other departments, the source said.",17408,3647,0.53,0.52,True,False,True,340,2022-07-01T07:51:17.3362150
"The case is the first by the U.S. Justice Department to go to trial over allegations that financial institutions manipulated Libor, or the London interbank offered rate, a shortterm rate banks charge each other for loans.",17538,3689,0.31,0.63,True,False,True,404,2022-07-19T16:12:59.8579450
"Financial companies are expected to show earnings growth of 8.4 percent, behind only telecoms and consumer discretionary companies in expected growth for the quarter.",17560,3692,0.55,0.60,True,False,True,431,2022-08-05T13:23:11.3259940
"""This is very, very clear.",17596,3697,0.80,0.64,True,False,True,46,2022-06-07T14:21:38.2811680
"But several former managers in the VW group  whose brands also include Audi, Porsche, SEAT and Skoda  said few executives dared approach Winterkorn.DISTANCE, FEAR,",17642,3697,0.50,0.50,True,True,True,454,2022-08-05T13:29:02.1618850
"United Continental Holdings Inc intends to compete on price when necessary, add destinations and offer easy connections to keep customers, Jim Compton said.",17751,3713,0.58,0.55,True,False,True,612,2022-08-23T08:55:15.0845490
"Most recently he served as the executive vice president of food in which he was tasked by Greg Foran, the head of the U.S. operations, with improving the grocery operations with a focus on fresh food.",17785,3714,0.63,0.53,True,False,True,734,2022-08-24T14:13:03.7475270
"""Standard Chartered has also been fined more than $1 billion for breaching U.S. sanctions, including with Iran, and authorities there are still investigating some issues.",17855,3736,0.34,0.63,True,False,True,474,2022-08-16T13:53:09.4964620
"In a rare concession to protests, Lukashenko has also questioned whether Russia should be building a military air base in Belarus.",17912,3750,0.52,0.47,True,False,True,232,2022-06-21T13:28:33.1619030
"About 7.29 billion shares changed hands on U.S. exchanges on Thursday compared with an average of 7.49 billion for the previous 20 sessions, according to Thomson Reuters data.(Additional reporting Abhiram Nandakumar and Tanya Agrawal in Bengaluru; Editing by Nick Zieminski and James Dalgleish)",18099,3763,0.48,0.48,True,False,True,241,2022-07-19T16:06:46.6000740
"""When you have people working side by side doing the same job for different wages, it causes tensions,"" said Lakeysha Woodare, 41, a firsttier worker making $28 an hour who voted against the first contract.",18158,3773,0.37,0.60,True,False,True,95,2022-06-08T12:35:36.2007100
"VW late last week informed dealers it would offer ""loyalty bonuses"" of $2,000 for owners who want to trade in their cars.",18284,3813,0.57,0.53,True,False,True,365,2022-07-01T13:52:50.1383860
The UAW had previously told the company that it would terminate the current labor contract if a new fouryear contract deal was not reached by 11:59 pm EDT on Wednesday on Thursday.,18305,3814,0.42,0.56,True,False,True,268,2022-06-23T10:14:14.0297050
"Gains in U.S. indexes, even after the reversal of an oil rally, suggest that the worst might be over for commodity prices hit by concerns about China's economy, said Warren West, principal at Greentree Brokerage Services in Philadelphia.""We're",18383,3822,0.67,0.35,True,False,True,52,2022-06-07T14:23:24.8699510
He declined to comment on any strategic changes during a conference call with analysts and investors on Wednesday.,18409,3823,0.43,0.40,True,False,True,188,2022-06-24T13:13:56.9215040
"A deadline extension can be granted if SABMiller asks for it, and AB InBev wants shareholders to lobby the company.",18473,3832,0.57,0.46,True,False,True,574,2022-08-25T09:43:52.9393260
"Managing Director Nick Lawson, adding that after a rough September investors were ready to put more firepower into rebound bets.",18589,3859,0.58,0.57,True,False,True,650,2022-08-23T11:46:07.0634890
"""There's more risk in being that far away from the customer,"" said D. Steve Boland, the Bank of America executive in charge of mortgage and auto lending.",18632,3867,0.31,0.56,True,False,True,117,2022-06-22T09:01:38.5914220
"""I've already got a relationship with the customer,"" said Boland.",18657,3867,0.57,0.56,True,False,True,358,2022-07-01T13:50:28.0652930
"""The decline in orders from abroad paints a dim picture,"" said Thomas Gitzel, an economist at VP Bank.",18998,3925,0.23,0.45,True,False,True,690,2022-08-24T09:46:00.2351290
"""It's having trouble finding a way to create new demand for its smartphones.",19056,3940,0.38,0.56,True,False,True,197,2022-06-17T14:00:56.7315820
Previous settlements included a fund originally set at $7.8 billion to compensate individuals claiming economic harm from the spill.,19179,3956,0.42,0.61,True,False,True,797,2022-08-25T09:21:51.0002000
"The company holds an annual meeting with investors and analysts later this month, where McMillon and top executives are due to present their strategies and investment plans.",19490,4027,0.53,0.53,True,False,True,290,2022-06-24T13:15:33.4219280
"""We will gather the issues together and notify (Fiat Chrysler) that further discussions are needed,"" Williams said in a statement.",19624,4048,0.53,0.59,True,False,True,544,2022-08-22T08:38:54.8942120
"There has not been a sustained UAW strike in decades, and this makes the first time a national contract negotiated between the UAW and a major car maker has been rejected since 1982.",19629,4048,0.35,0.53,True,False,True,514,2022-08-18T14:18:30.8965720
